type,fixed_acidity,volatile_acidity,citric_acid,density,pH,sulphates,alcohol,quality
white,7,0.27,0.36,1.001,3,0.45,8.8,6
white,6.3,0.3,0.34,0.994,3.3,0.49,9.5,6
white,8.1,0.28,0.4,0.9951,3.26,0.44,10.1,6
white,7.2,0.23,0.32,0.9956,3.19,0.4,9.9,6
white,7.2,0.23,0.32,0.9956,3.19,0.4,9.9,6
white,8.1,0.28,0.4,0.9951,3.26,0.44,10.1,6
white,6.2,0.32,0.16,0.9949,3.18,0.47,9.6,6
white,7,0.27,0.36,1.001,3,0.45,8.8,6
white,6.3,0.3,0.34,0.994,3.3,0.49,9.5,6
white,8.1,0.22,0.43,0.9938,3.22,0.45,11,6
white,8.1,0.27,0.41,0.9908,2.99,0.56,12,5
white,8.6,0.23,0.4,0.9947,3.14,0.53,9.7,5
white,7.9,0.18,0.37,0.992,3.18,0.63,10.8,5
white,6.6,0.16,0.4,0.9912,3.54,0.52,12.4,7
white,8.3,0.42,0.62,1.0002,2.98,0.67,9.7,5
white,6.6,0.17,0.38,0.9914,3.25,0.55,11.4,7
white,6.3,0.48,0.04,0.9928,3.24,0.36,9.6,6
white,,0.66,0.48,0.9892,3.33,0.39,12.8,8
white,7.4,0.34,0.42,0.9917,3.12,0.53,11.3,6
white,6.5,0.31,0.14,0.9955,3.22,0.5,9.5,5
white,6.2,0.66,0.48,0.9892,3.33,0.39,12.8,8
white,6.4,0.31,0.38,0.9912,3.17,0.35,11,7
white,6.8,0.26,0.42,0.993,3.47,0.48,10.5,8
white,7.6,0.67,0.14,0.9937,3.05,0.51,9.3,5
white,6.6,0.27,0.41,0.9951,3.42,0.47,10,6
white,7,0.25,0.32,0.9955,3.25,0.5,10.4,6
white,6.9,0.24,0.35,0.993,3.45,0.44,10,6
white,7,0.28,0.39,0.9961,3.38,0.53,10.5,6
white,7.4,0.27,0.48,0.9914,3.19,0.49,11.6,6
white,7.2,0.32,0.36,0.9906,3.1,0.71,12.3,7
white,8.5,0.24,0.39,0.9974,3.2,0.53,10,6
white,8.3,0.14,0.34,0.9934,3.47,0.4,10.2,6
white,7.4,0.25,0.36,0.992,3.19,0.44,10.8,6
white,6.2,0.12,0.34,0.9939,3.42,0.51,9,6
white,5.8,0.27,0.2,0.9962,3.37,0.37,10.2,5
white,7.3,0.28,0.43,0.9905,3.19,0.42,12.8,5
white,6.5,0.39,0.23,0.9934,3.24,0.35,10,5
white,7,0.33,0.32,0.9906,3.13,0.28,11.2,6
white,7.3,0.24,0.39,0.9999,3.21,0.36,8.6,5
white,7.3,0.24,0.39,0.9999,3.21,0.36,8.6,5
white,6.7,0.23,0.39,0.9937,3.11,0.36,9.4,6
white,6.7,0.24,0.39,0.9937,3.1,0.34,9.4,6
white,7,0.31,0.26,0.9954,3.13,0.46,9.8,6
white,6.6,0.24,0.27,0.9934,3.22,0.56,9.5,6
white,6.7,0.23,0.26,0.9934,3.24,0.56,9.5,6
white,7.4,0.18,0.31,0.9931,3.16,0.53,10,7
white,6.2,0.45,0.26,0.994,3.27,0.52,9.8,4
white,6.2,0.46,0.25,0.9939,3.25,0.52,9.8,5
white,7,0.31,0.26,0.9954,3.13,0.46,9.8,6
white,6.9,0.19,0.35,0.995,3.36,0.48,9.8,5
white,7.2,0.19,0.31,0.9917,3.35,0.44,11.7,6
white,6.6,0.25,0.29,0.9914,3.34,0.58,11,7
white,6.2,0.16,0.33,0.991,3.32,0.46,10.9,7
white,6.4,0.18,0.35,0.9911,3.31,0.35,10.9,6
white,6.8,0.2,0.59,0.993,,0.38,9.1,6
white,6.9,0.25,0.35,0.9908,3.13,0.52,11,6
white,7.2,0.21,0.34,0.9962,3.09,0.5,9.6,6
white,6,0.19,0.26,0.9972,3.3,0.36,8.9,6
white,6.6,0.38,0.15,0.9931,3.11,0.38,10.2,6
white,7.4,0.2,0.36,0.9926,3.36,0.34,9.9,6
white,6.8,0.22,0.24,0.9951,3.03,0.46,8.6,6
white,6,0.19,0.26,0.9972,3.3,0.36,8.9,6
white,7,0.47,0.07,0.991,3.02,0.34,10.5,5
white,6.6,0.38,0.15,0.9931,3.11,0.38,10.2,6
